Purpose,Quarter,Trips
Holiday,2011-04-01,9009.2215279
Holiday,2011-07-01,8449.4986274
Holiday,2011-10-01,8488.6335158
Holiday,2012-01-01,10267.9203721
Holiday,2012-04-01,8602.9121388
Holiday,2012-07-01,8350.3765222
Holiday,2012-10-01,9237.4914174
Holiday,2013-01-01,10786.6854306
Holiday,2013-04-01,9033.303823100001
Holiday,2013-07-01,8781.0029437
Holiday,2013-10-01,8876.8492855
Holiday,2014-01-01,11355.2935855
Holiday,2014-04-01,10198.9320946
Holiday,2014-07-01,8968.0363277
Holiday,2014-10-01,9414.3273515
Holiday,2015-01-01,11630.9335134
Holiday,2015-04-01,9707.047532300001
Holiday,2015-07-01,9545.9545705
Holiday,2015-10-01,10046.1594153
Holiday,2016-01-01,12593.1781345
Holiday,2016-04-01,9980.198792
Holiday,2016-07-01,9939.6175664
Holiday,2016-10-01,10084.9646705
Holiday,2017-01-01,12406.4188631
Holiday,2017-04-01,10471.1972619
Holiday,2017-07-01,10499.1653699
Holiday,2017-10-01,11210.8177602
Other,1998-01-01,679.6751276
Other,1998-04-01,656.2045309
Other,1998-07-01,816.364217
Other,1998-10-01,668.2380635
Other,1999-01-01,675.0129683
Other,1999-04-01,823.902334
Other,1999-07-01,924.6075727
Other,1999-10-01,896.7499835
Other,2000-01-01,916.4865394999999
Other,2000-04-01,863.0866765000001
Other,2000-07-01,838.7525825
Other,2000-10-01,910.2102199
Other,2001-01-01,812.3110356
Other,2001-04-01,968.5941278
Other,2001-07-01,973.5878544999999
Other,2001-10-01,973.0268582
Other,2002-01-01,884.3750514
Other,2002-04-01,788.4982875000001
Other,2002-07-01,1025.9718433
Other,2002-10-01,977.8918854
Other,2003-01-01,698.6866028
Other,2003-04-01,851.1324628
Other,2003-07-01,767.1251918
Other,2003-10-01,765.5339018
Other,2004-01-01,845.9337715
Other,2004-04-01,907.2989588
Other,2004-07-01,747.9486355
Other,2004-10-01,827.6302971
Other,2005-01-01,835.8969973
Other,2005-04-01,899.4970421
Other,2005-07-01,840.0359685
Other,2005-10-01,992.8721
Other,2006-01-01,899.230352
Other,2006-04-01,814.506054
Other,2006-07-01,817.406027
Other,2006-10-01,838.480425
Other,2007-01-01,719.3579432
Other,2007-04-01,922.7254477
Other,2007-07-01,977.2042077
Other,2007-10-01,846.9319609
Other,2008-01-01,674.7232539
Other,2008-04-01,666.0760699
Other,2008-07-01,853.7405472
Other,2008-10-01,751.722387
Other,2009-01-01,693.545075
Other,2009-04-01,771.0034462
Other,2009-07-01,913.8875044
Other,2009-10-01,819.332589
Other,2010-01-01,750.4735073
Other,2010-04-01,859.7421257
Other,2010-07-01,1064.6983337
Other,2010-10-01,1021.7610939
Other,2011-01-01,917.0940606
Other,2011-04-01,1006.0699383
Other,2011-07-01,1019.6415761999999
Other,2011-10-01,845.160159
Other,2012-01-01,1003.0973517
Other,2012-04-01,862.1421866
Other,2012-07-01,985.7489972
Other,2012-10-01,828.5346906
Other,2013-01-01,817.8535148
Other,2013-04-01,925.7718911000001
Other,2013-07-01,991.58388
Other,2013-10-01,1069.0806764
Other,2014-01-01,1049.8678703
Other,2014-04-01,1374.3508392
Other,2014-07-01,1372.8192287
Other,2014-10-01,1319.3080339
Other,2015-01-01,1214.3649402
Other,2015-04-01,1382.0167168
Other,2015-07-01,1257.4247617
Other,2015-10-01,1396.831738
Other,2016-01-01,1188.4152394
Other,2016-04-01,1400.4652659
Other,2016-07-01,1395.9472825
Other,2016-10-01,1397.9227706
Other,2017-01-01,1439.9713653000001
Other,2017-04-01,1423.0270629
Other,2017-07-01,1665.2581481
Other,2017-10-01,1301.8888678
Visiting,1998-01-01,7097.8531479
Visiting,1998-04-01,6667.8533033
Visiting,1998-07-01,6011.3340201
Visiting,1998-10-01,7066.8294729
Visiting,1999-01-01,6905.7595936
Visiting,1999-04-01,6312.6191797
Visiting,1999-07-01,5885.6900143
Visiting,1999-10-01,6404.3033656
Visiting,2000-01-01,6789.6965042
Visiting,2000-04-01,5863.9517809
Visiting,2000-07-01,5780.5975103
Visiting,2000-10-01,7064.597925
Visiting,2001-01-01,6311.6449418
Visiting,2001-04-01,6513.701753
Visiting,2001-07-01,6598.5975282
Visiting,2001-10-01,6787.453862
Visiting,2002-01-01,7190.1288624
Visiting,2002-04-01,6559.0462333
Visiting,2002-07-01,6797.3196856
Visiting,2002-10-01,7467.7019609
Visiting,2003-01-01,7434.5651085
Visiting,2003-04-01,7366.8531637999995
Visiting,2003-07-01,6911.8059811
Visiting,2003-10-01,7701.2260080999995
Visiting,2004-01-01,8118.2971409
Visiting,2004-04-01,7388.8741345
Visiting,2004-07-01,6669.8479753
Visiting,2004-10-01,7424.5791291
Visiting,2005-01-01,7883.6234367
Visiting,2005-04-01,6170.6672981
Visiting,2005-07-01,5670.6222569
Visiting,2005-10-01,6768.3225412
Visiting,2006-01-01,7425.813245
Visiting,2006-04-01,7217.069285
Visiting,2006-07-01,6044.004804
Visiting,2006-10-01,7142.722888
Visiting,2007-01-01,6924.9120557
Visiting,2007-04-01,6930.7981079
Visiting,2007-07-01,6291.5412845
Visiting,2007-10-01,6994.2185784
Visiting,2008-01-01,7497.6039122
Visiting,2008-04-01,6065.1774577
Visiting,2008-07-01,5932.596706
Visiting,2008-10-01,6458.897869
Visiting,2009-01-01,6469.6306667
Visiting,2009-04-01,5957.43045
Visiting,2009-07-01,5724.377646
Visiting,2009-10-01,6432.4097308
Visiting,2010-01-01,6382.445783
Visiting,2010-04-01,5914.4189243
Visiting,2010-07-01,5853.3250936
Visiting,2010-10-01,6575.2369154
Visiting,2011-01-01,6588.3093751999995
Visiting,2011-04-01,6449.2405425
Visiting,2011-07-01,6199.9802692
Visiting,2011-10-01,7168.6995564
Visiting,2012-01-01,7435.8628023
Visiting,2012-04-01,7063.7725585
Visiting,2012-07-01,6219.1272068
Visiting,2012-10-01,7666.6470654
Visiting,2013-01-01,7280.9631623000005
Visiting,2013-04-01,6976.8970467
Visiting,2013-07-01,6528.7512778
Visiting,2013-10-01,7688.187517
Visiting,2014-01-01,7956.6738531
Visiting,2014-04-01,7711.732232
Visiting,2014-07-01,7143.6477112
Visiting,2014-10-01,8042.7716207
Visiting,2015-01-01,8201.551931
Visiting,2015-04-01,7801.2501012
Visiting,2015-07-01,7589.379657
Visiting,2015-10-01,8445.1651889
Visiting,2016-01-01,8503.2734677
Visiting,2016-04-01,7766.4225388
Visiting,2016-07-01,7708.8750769
Visiting,2016-10-01,9422.9781307
Visiting,2017-01-01,8862.1065538
Visiting,2017-04-01,8394.142173
Visiting,2017-07-01,8036.5439088
Visiting,2017-10-01,9702.8701659
